id,title,vote_average,vote_count,release_date,revenue,runtime,adult,budget,popularity,poster_path,genres
64688,21 Jump Street,6.878,9650,2012-03-14,201585328,109,False,42000000,31.405,/8v3Sqv9UcIUC4ebmpKWROqPBINZ.jpg,"Action, Comedy, Crime"
59967,Looper,6.877,9606,2012-09-26,47042000,118,False,30000000,31.34,/sNjL6SqErDBE8OUZlrDLkexfsCj.jpg,"Action, Thriller, Science Fiction"
629,The Usual Suspects,8.195,9604,1995-07-19,23341568,106,False,6000000,30.858,/bUPmtQzrRhzqYySeiMpv7GurAfm.jpg,"Drama, Crime, Thriller"
1949,Zodiac,7.5,9597,2007-03-02,84785914,157,False,65000000,36.465,/6YmeO4pB7XTh8P8F960O1uA14JO.jpg,"Crime, Drama, Mystery, Thriller"
343668,Kingsman: The Golden Circle,6.972,9560,2017-09-20,410902662,141,False,104000000,47.359,/34xBL6BXNYFqtHO9zhcgoakS4aP.jpg,"Action, Adventure, Comedy"
262500,Insurgent,6.361,9494,2015-03-18,297002527,119,False,110000000,38.035,/dP5Fb6YRfzmCQtRbHOr2kO7tJW9.jpg,"Action, Adventure, Science Fiction, Thriller"
453,A Beautiful Mind,7.851,9475,2001-12-11,316800000,135,False,58000000,36.253,/zwzWCmH72OSC9NA0ipoqw5Zjya8.jpg,"Drama, Romance"
508442,Soul,8.15,9473,2020-12-25,136384442,101,False,150000000,48.876,/hm58Jw4Lw8OIeECIq5qyPYhAeRJ.jpg,"Animation, Family, Comedy, Fantasy, Drama"
438631,Dune,7.789,9420,2021-09-15,402027830,155,False,165000000,75.848,/d5NXSklXo0qyIYkgV94XAgMIckC.jpg,"Science Fiction, Adventure"
359940,"Three Billboards Outside Ebbing, Missouri",8.081,9418,2017-12-01,160192031,115,False,15000000,23.357,/pZRhqJj0DBy4ghB7g6pU7MGHsWJ.jpg,"Crime, Drama"
36658,X2,7.029,9417,2003-04-27,407711549,133,False,110000000,1.157,/mM5qSVdWlGkvALHhNIb6kW6D42Y.jpg,"Adventure, Action, Science Fiction"
283366,Miss Peregrine's Home for Peculiar Children,6.822,9401,2016-09-27,296482446,127,False,110000000,39.951,/CIlbMFOfYDj0MP23hsIYhFGrL6.jpg,"Fantasy, Adventure"
854,The Mask,6.937,9401,1994-07-29,351583407,101,False,23000000,39.592,/xbbXp9px4o8Oe7IbGd0yIbla8mZ.jpg,"Romance, Comedy, Crime, Fantasy"
19913,(500) Days of Summer,7.272,9359,2009-07-17,60781545,95,False,7500000,33.311,/f9mbM0YMLpYemcWx6o2WeiYQLDP.jpg,"Comedy, Drama, Romance"
197,Braveheart,7.932,9347,1995-05-24,213216216,177,False,72000000,33.766,/or1gBugydmjToAEq7OZY0owwFk.jpg,"Action, Drama, History, War"
13475,Star Trek,7.432,9314,2009-05-06,385680446,127,False,150000000,43.385,/9vaRPXj44Q2meHgt3VVfQufiHOJ.jpg,"Science Fiction, Action, Adventure"
497698,Black Widow,7.303,9298,2021-07-07,379751131,134,False,200000000,56.256,/kwB7d51AIcyzPOBOHLCEZJkmPhQ.jpg,"Action, Adventure, Science Fiction"
539,Psycho,8.437,9272,1960-06-22,32000000,109,False,806947,51.373,/yz4QVqPx3h1hD1DfqqQkCq3rmxW.jpg,"Horror, Drama, Thriller"
10020,Beauty and the Beast,7.734,9256,1991-10-22,424967620,84,False,25000000,72.077,/hUJ0UvQ5tgE2Z9WpfuduVSdiCiU.jpg,"Romance, Family, Animation, Fantasy"
392044,Murder on the Orient Express,6.706,9243,2017-11-03,352794081,114,False,55000000,37.493,/kc2gJjebceoFgOQbukzPzP8SXVZ.jpg,"Mystery, Drama, Crime"
9799,The Fast and the Furious,6.965,9207,2001-06-22,207283925,106,False,38000000,5.398,/gqY0ITBgT7A82poL9jv851qdnIb.jpg,"Action, Crime, Thriller"
641,Requiem for a Dream,8.027,9165,2000-10-06,7390108,102,False,4500000,16.408,/nOd6vjEmzCT0k4VYqsA2hwyi87C.jpg,"Crime, Drama"
1402,The Pursuit of Happyness,7.9,9159,2006-12-14,307077295,117,False,55000000,42.153,/kTdG9wKnREyjK6nlFDNmpe7wlIK.jpg,Drama
605,The Matrix Revolutions,6.71,9118,2003-11-05,424988211,129,False,150000000,33.434,/qEWiBXJGXK28jGBAm8oFKKTB0WD.jpg,"Adventure, Action, Thriller, Science Fiction"
5915,Into the Wild,7.81,9026,2007-09-11,56255142,148,False,15000000,30.993,/2MSGZEE6XZd2r4ODNziwAw7Hpw0.jpg,"Adventure, Drama"
627,Trainspotting,8.0,9017,1996-02-23,16491080,94,False,4000000,27.042,/bhY62Dw8iW54DIhxPQerbuB9DOP.jpg,"Drama, Crime"
